EntrezGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
67949,1023.50247,-0.024358283,0.264402246,-0.092125856,0.926598046,0.94314261
668448,6.123954183,-0.049426789,0.53324032,-0.092691395,0.926148734,0.942737389
11655,1120.468897,-0.020904586,0.223513544,-0.093527158,0.925484776,0.942113621
218214,478.0088997,-0.024769979,0.263809169,-0.093893548,0.925193719,0.941869406
78893,1086.857955,-0.014764522,0.156482239,-0.094352704,0.924828985,0.941550155
16650,1315.355626,-0.016213697,0.17133948,-0.094629076,0.924609454,0.941378705
215001,28.21170171,-0.045154968,0.47679959,-0.094704292,0.924549709,0.941369928
27029,254.3068613,0.017509928,0.184507033,0.094901142,0.924393349,0.941262774
230824,36.20888349,0.036269836,0.38179612,0.094997916,0.924316482,0.941236555
57294,898.4587157,-0.027572593,0.288373899,-0.095614038,0.923827116,0.94079026
234796,80.00560133,-0.023745376,0.247984198,-0.095753585,0.923716281,0.940729419
17532,137.2077082,0.042239687,0.43936012,0.096139101,0.923410097,0.940469612
100034748,8.554474574,-0.053731624,0.558339219,-0.096234731,0.923334148,0.940444278
414077,276.249053,-0.016362536,0.169869224,-0.096324312,0.923263002,0.940423835
22682,8026.604867,0.019090131,0.19707574,0.096866975,0.922832036,0.94003686
57785,112.4639033,0.024247653,0.250064641,0.09696554,0.92275376,0.940009128
19671,700.6970655,-0.011206828,0.114863195,-0.097566748,0.92227633,0.939574751
100316707,10.54610704,-0.038753263,0.396752936,-0.097676058,0.922189527,0.939538304
